Regione,eta,maschi,femmine
Emilia-Romagna,5,19223,18227
Emilia-Romagna,6,19618,18767
Emilia-Romagna,7,20495,19098
Emilia-Romagna,8,20718,19658
Emilia-Romagna,9,21558,20162
Emilia-Romagna,10,21765,20652
Emilia-Romagna,11,21771,20392
Emilia-Romagna,12,21699,20175
Emilia-Romagna,13,21439,20067
Emilia-Romagna,14,21059,19784
Emilia-Romagna,15,20838,19620
Emilia-Romagna,16,20486,19008
Emilia-Romagna,17,20704,19111
Emilia-Romagna,18,20769,19141
Emilia-Romagna,19,21518,19308
Emilia-Romagna,20,21081,19047
Emilia-Romagna,21,21783,18687
Emilia-Romagna,22,21349,19144
Emilia-Romagna,23,21123,19286
Emilia-Romagna,24,21216,19141
Emilia-Romagna,25,21374,19848
Emilia-Romagna,26,21725,20162
Emilia-Romagna,27,22792,21605
Emilia-Romagna,28,23081,21897
Emilia-Romagna,29,23563,22756
Emilia-Romagna,30,23346,22804
Emilia-Romagna,31,23813,23070
Emilia-Romagna,32,23451,23413
Emilia-Romagna,33,23664,23774
Emilia-Romagna,34,24641,24687
Emilia-Romagna,35,25313,25169
Emilia-Romagna,36,25731,25890
Emilia-Romagna,37,26551,26649
Emilia-Romagna,38,26836,26777
Emilia-Romagna,39,27916,27746
Emilia-Romagna,40,28841,29157
Emilia-Romagna,41,30845,30875
Emilia-Romagna,42,32046,32276
Emilia-Romagna,43,33697,33819
Emilia-Romagna,44,35416,35578
Emilia-Romagna,45,37239,36828
Emilia-Romagna,46,37029,37014
Emilia-Romagna,47,37184,37042
Emilia-Romagna,48,37425,37303
Emilia-Romagna,49,36659,37039
Emilia-Romagna,50,36996,37380
Emilia-Romagna,51,36946,37027
Emilia-Romagna,52,36309,36534
Emilia-Romagna,53,36646,36868
Emilia-Romagna,54,35959,36508
Emilia-Romagna,55,36418,37256
Emilia-Romagna,56,33960,34918
Emilia-Romagna,57,32382,34068
Emilia-Romagna,58,31593,33399
Emilia-Romagna,59,30419,32511
Emilia-Romagna,60,29673,31756
Emilia-Romagna,61,28177,30263
Emilia-Romagna,62,27851,30115
Emilia-Romagna,63,27291,29618
Emilia-Romagna,64,26042,28431
Emilia-Romagna,65,24915,27965
Emilia-Romagna,66,23892,26640
Emilia-Romagna,67,23180,26523
Emilia-Romagna,68,22969,25856
Emilia-Romagna,69,23818,27236
Emilia-Romagna,70,24102,27349
Emilia-Romagna,71,25327,28751
Emilia-Romagna,72,25306,28161
Emilia-Romagna,73,25103,28807
Emilia-Romagna,74,17325,20463
Emilia-Romagna,75,19280,22565
Emilia-Romagna,76,18814,22309
Emilia-Romagna,77,18015,21897
Emilia-Romagna,78,18099,22185
Emilia-Romagna,79,18944,24327
Emilia-Romagna,80,18169,23619
Emilia-Romagna,81,17473,23127
Emilia-Romagna,82,15219,20252
Emilia-Romagna,83,12896,18388
Emilia-Romagna,84,12968,18660
Emilia-Romagna,85,11608,17673
Emilia-Romagna,86,9893,15674
Emilia-Romagna,87,8364,14026
Emilia-Romagna,88,7528,13162
Emilia-Romagna,89,6464,12503
Emilia-Romagna,90,5062,10217
Emilia-Romagna,91,4083,8996
Emilia-Romagna,92,3132,7753
Emilia-Romagna,93,2338,6285
Emilia-Romagna,94,1720,5254
Emilia-Romagna,95,1316,3998
Emilia-Romagna,96,858,3154
Emilia-Romagna,97,575,2234
Emilia-Romagna,98,406,1602
Emilia-Romagna,99,263,1026
Emilia-Romagna,100,232,1183
Emilia-Romagna,Totale,2173781,2290338
Toscana,0,11780,11440
Toscana,1,12555,12158
Toscana,2,13426,12686
Toscana,3,13853,13178
Toscana,4,14333,13269
Toscana,5,14974,14187
Toscana,6,15197,14270
Toscana,7,15961,15328
Toscana,8,16251,15417
Toscana,9,16807,15897
Toscana,10,16895,15945
Toscana,11,17587,16269
Toscana,12,17432,16115
Toscana,13,17160,16116
Toscana,14,17146,16019
Toscana,15,17135,16009
Toscana,16,16743,15605
Toscana,17,16905,15684
Toscana,18,16889,15758
Toscana,19,17340,15835
Toscana,20,17235,15268
Toscana,21,17731,15543
Toscana,22,17448,15606
Toscana,23,17320,15760
Toscana,24,17118,15676
Toscana,25,17037,16044
Toscana,26,17451,16201
Toscana,27,18189,17385
Toscana,28,18135,17342
Toscana,29,19152,18102
Toscana,30,18666,18264
Toscana,31,19390,19005
Toscana,32,18912,18661
Toscana,33,18577,19099
Toscana,34,19522,19940
Toscana,35,19973,20153
Toscana,36,20441,20841
Toscana,37,21207,21309
Toscana,38,21424,21687
Toscana,39,22168,22249
Toscana,40,23061,23522
Toscana,41,24465,24939
Toscana,42,25363,25913
Toscana,43,26414,27341
Toscana,44,27843,28727
Toscana,45,29208,30141
Toscana,46,29231,30361
Toscana,47,29746,30349
Toscana,48,29813,30751
Toscana,49,29638,29841
Toscana,50,30101,30964
Toscana,51,29428,30767
Toscana,52,29534,31065
Toscana,53,30202,31158
Toscana,54,30110,31215
Toscana,55,30251,31637
Toscana,56,28184,29584
Toscana,57,27072,28578
Toscana,58,26242,28224
Toscana,59,25663,27131
Toscana,60,24998,26502
Toscana,61,23537,25960
